# File : Real solutions | TwoReal | ComplexConj
final_parameters_313 : 1 real | TwoReal: 1 | ComplexConj: 0
final_parameters_314 : 2 real | TwoReal: 3 | ComplexConj: 0
final_parameters_315 : 4 real | TwoReal: 3 | ComplexConj: 0
final_parameters_316 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_317 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_318 : 0 real | TwoReal: 4 | ComplexConj: 0
final_parameters_319 : 7 real | TwoReal: 3 | ComplexConj: 0
final_parameters_320 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_321 : 0 real | TwoReal: 4 | ComplexConj: 0
final_parameters_322 : 1 real | TwoReal: 0 | ComplexConj: 1
final_parameters_323 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_324 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_325 : 0 real | TwoReal: 4 | ComplexConj: 0
final_parameters_326 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_327 : 5 real | TwoReal: 3 | ComplexConj: 0
final_parameters_328 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_329 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_330 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_331 : 4 real | TwoReal: 1 | ComplexConj: 0
final_parameters_332 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_333 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_334 : 7 real | TwoReal: 1 | ComplexConj: 0
final_parameters_335 : 4 real | TwoReal: 1 | ComplexConj: 0
final_parameters_336 : 7 real | TwoReal: 1 | ComplexConj: 0
final_parameters_337 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_338 : 1 real | TwoReal: 5 | ComplexConj: 0
final_parameters_339 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_340 : 5 real | TwoReal: 2 | ComplexConj: 1
final_parameters_341 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_342 : 5 real | TwoReal: 0 | ComplexConj: 1
final_parameters_343 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_344 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_345 : 0 real | TwoReal: 2 | ComplexConj: 1
final_parameters_346 : 7 real | TwoReal: 1 | ComplexConj: 0
final_parameters_347 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_348 : 0 real | TwoReal: 0 | ComplexConj: 2
final_parameters_349 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_350 : 3 real | TwoReal: 1 | ComplexConj: 0
final_parameters_351 : 1 real | TwoReal: 0 | ComplexConj: 1
final_parameters_352 : 4 real | TwoReal: 1 | ComplexConj: 1
final_parameters_353 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_354 : 1 real | TwoReal: 5 | ComplexConj: 0
final_parameters_355 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_356 : 1 real | TwoReal: 5 | ComplexConj: 0
final_parameters_357 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_358 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_359 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_360 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_361 : 4 real | TwoReal: 1 | ComplexConj: 1
final_parameters_362 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_363 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_364 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_365 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_366 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_367 : 2 real | TwoReal: 3 | ComplexConj: 0
final_parameters_368 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_369 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_370 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_371 : 7 real | TwoReal: 1 | ComplexConj: 0
final_parameters_372 : 2 real | TwoReal: 3 | ComplexConj: 0
final_parameters_373 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_374 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_375 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_376 : 7 real | TwoReal: 1 | ComplexConj: 0
final_parameters_377 : 1 real | TwoReal: 4 | ComplexConj: 0
final_parameters_378 : 2 real | TwoReal: 1 | ComplexConj: 1
final_parameters_379 : 5 real | TwoReal: 2 | ComplexConj: 1
final_parameters_380 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_381 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_382 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_383 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_384 : 1 real | TwoReal: 2 | ComplexConj: 1
final_parameters_385 : 3 real | TwoReal: 1 | ComplexConj: 0
final_parameters_386 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_387 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_388 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_389 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_390 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_391 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_392 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_393 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_394 : 0 real | TwoReal: 2 | ComplexConj: 0
